day_of_week,away_team,away_goals,home_team,home_goals,length_of_game_min,away_outcome,home_outcome,W,L,GDIFF,SOW%,PTS,PTS%,PP,PP%
1,4,5,14,1,149,1,0,50,21,58,50,111,68,54,22
1,11,3,21,0,148,1,0,49,27,53,83,104,64,61,25
1,20,2,26,5,155,0,1,33,42,45,60,73,44,47,19
1,23,1,29,3,140,0,1,32,37,44,50,77,47,41,18
1,15,4,31,8,155,0,1,22,49,40,60,55,33,34,13
2,13,3,9,4,151,0,1,44,27,50,50,99,61,40,16
2,25,3,19,5,145,0,1,49,22,56,40,109,67,65,26
2,16,3,24,4,148,0,1,45,30,51,66,97,59,63,24
2,3,5,27,1,139,1,0,32,39,44,50,75,46,47,21
3,7,1,1,2,145,0,1,56,19,57,66,119,73,67,24
3,15,5,4,4,153,1,0,22,49,40,60,55,33,34,13
3,11,3,6,4,154,0,1,49,27,53,83,104,64,61,25
3,20,0,12,3,156,0,1,33,42,45,60,73,44,47,19
3,28,4,18,3,144,1,0,40,30,51,37,92,56,58,23
3,14,5,21,4,152,1,0,53,22,55,55,113,69,53,20
3,22,5,26,1,157,1,0,46,25,54,30,103,63,50,20
3,2,5,29,2,146,1,0,51,26,53,50,107,65,50,21
3,5,0,30,4,142,0,1,54,20,58,33,116,71,51,21
4,29,5,0,4,151,1,0,43,31,51,50,94,57,39,18
4,14,4,3,5,149,0,1,53,22,55,55,113,69,53,20
4,22,2,5,3,160,0,1,46,25,54,30,103,63,50,20
4,13,4,8,3,148,1,0,44,27,50,50,99,61,40,16
4,17,1,19,3,145,0,1,27,46,44,37,63,38,35,15
4,10,1,26,3,147,0,1,32,40,42,60,74,45,37,16
4,9,4,31,3,154,1,0,46,30,48,71,98,60,54,22
5,20,5,1,8,147,0,1,33,42,45,60,73,44,47,19
5,2,5,8,4,159,1,0,51,26,53,50,107,65,50,21
5,4,4,7,3,153,1,0,50,21,58,50,111,68,54,22
5,15,5,11,2,151,1,0,22,49,40,60,55,33,34,13
5,10,2,12,6,141,0,1,32,40,42,60,74,45,37,16
5,25,1,18,2,150,0,1,49,22,56,40,109,67,65,26
5,6,3,21,4,158,0,1,28,42,42,75,68,41,47,19
5,16,8,23,0,151,1,0,45,30,51,66,97,59,63,24
5,28,6,27,4,149,1,0,40,30,51,37,92,56,58,23
5,24,2,30,5,145,0,1,27,49,42,75,60,36,32,14
6,23,2,0,3,149,0,1,32,37,44,50,77,47,41,18
6,13,3,3,0,152,1,0,44,27,50,50,99,61,40,16
6,24,2,5,3,153,0,1,27,49,42,75,60,36,32,14
6,26,6,6,3,143,1,0,51,23,55,28,110,67,62,23
6,9,6,14,3,162,1,0,46,30,48,71,98,60,54,22
6,25,2,17,3,145,0,1,49,22,56,40,109,67,65,26
6,20,1,29,2,151,0,1,33,42,45,60,73,44,47,19
6,19,4,31,1,136,1,0,52,24,55,57,110,67,55,25
0,13,3,2,2,163,1,0,44,27,50,50,99,61,40,16
0,12,6,3,1,144,1,0,58,18,58,42,122,75,64,24
0,27,5,8,4,155,1,0,54,21,55,75,115,70,63,27
0,11,1,4,3,151,0,1,49,27,53,83,104,64,61,25
0,7,5,18,4,151,1,0,56,19,57,66,119,73,67,24
1,30,5,4,4,150,1,0,44,26,52,62,100,61,48,18
1,0,3,6,8,145,0,1,31,37,46,44,76,46,48,21
1,1,9,10,2,149,1,0,25,50,40,20,57,35,28,13
1,19,2,14,5,141,0,1,52,24,55,57,110,67,55,25
1,7,3,17,5,150,0,1,56,19,57,66,119,73,67,24
1,9,1,16,2,138,0,1,46,30,48,71,98,60,54,22
1,29,1,21,2,156,0,1,43,31,51,50,94,57,39,18
1,12,4,22,3,149,1,0,58,18,58,42,122,75,64,24
1,20,4,25,1,137,1,0,33,42,45,60,73,44,47,19
1,24,4,27,6,150,0,1,27,49,42,75,60,36,32,14
1,26,4,31,7,138,0,1,51,23,55,28,110,67,62,23
2,30,3,11,4,161,0,1,44,26,52,62,100,61,48,18
2,15,3,28,5,146,0,1,22,49,40,60,55,33,34,13
3,6,3,2,4,151,0,1,28,42,42,75,68,41,47,19
3,29,1,3,3,144,0,1,43,31,51,50,94,57,39,18
3,7,0,5,2,146,0,1,56,19,57,66,119,73,67,24
3,26,1,4,4,145,0,1,51,23,55,28,110,67,62,23
3,14,6,10,5,172,1,0,53,22,55,55,113,69,53,20
3,21,3,12,6,162,0,1,25,46,41,20,61,37,30,12
3,23,4,13,3,148,1,0,32,37,44,50,77,47,41,18
3,31,2,17,1,136,1,0,39,32,49,33,89,54,52,21
3,0,1,16,4,158,0,1,31,37,46,44,76,46,48,21
3,8,0,18,6,151,0,1,37,38,46,57,81,49,41,18
3,24,3,20,4,149,0,1,27,49,42,75,60,36,32,14
3,19,2,25,6,144,0,1,52,24,55,57,110,67,55,25
3,1,5,27,4,146,1,0,25,50,40,20,57,35,28,13
4,14,2,8,3,161,0,1,53,22,55,55,113,69,53,20
4,31,2,18,5,147,0,1,39,32,49,33,89,54,52,21
4,29,2,22,5,143,0,1,43,31,51,50,94,57,39,18
4,30,4,28,3,153,1,0,44,26,52,62,100,61,48,18
5,1,2,2,3,144,0,1,25,50,40,20,57,35,28,13
5,21,1,5,3,143,0,1,25,46,41,20,61,37,30,12
5,10,0,4,3,148,0,1,32,40,42,60,74,45,37,16
5,19,7,9,4,147,1,0,52,24,55,57,110,67,55,25
5,26,1,11,4,159,0,1,51,23,55,28,110,67,62,23
5,24,4,15,3,171,1,0,27,49,42,75,60,36,32,14
5,0,1,17,2,150,0,1,31,37,46,44,76,46,48,21
5,25,7,16,4,152,1,0,49,22,56,40,109,67,65,26
5,6,6,20,3,146,1,0,28,42,42,75,68,41,47,19
5,13,0,23,5,138,0,1,44,27,50,50,99,61,40,16
6,27,2,3,5,166,0,1,54,21,55,75,115,70,63,27
6,29,4,8,6,153,0,1,43,31,51,50,94,57,39,18
6,4,0,7,3,147,0,1,50,21,58,50,111,68,54,22
6,12,2,13,3,159,0,1,58,18,58,42,122,75,64,24
6,16,6,14,2,149,1,0,45,30,51,66,97,59,63,24
6,0,3,18,4,150,0,1,31,37,46,44,76,46,48,21
6,15,4,21,3,155,1,0,22,49,40,60,55,33,34,13
6,5,2,22,4,158,0,1,54,20,58,33,116,71,51,21
6,31,4,25,3,148,1,0,39,32,49,33,89,54,52,21
6,26,2,28,1,148,1,0,51,23,55,28,110,67,62,23
0,1,5,20,3,142,1,0,25,50,40,20,57,35,28,13
1,2,2,6,1,154,1,0,51,26,53,50,107,65,50,21
1,10,5,11,7,150,0,1,32,40,42,60,74,45,37,16
1,7,3,13,0,146,1,0,56,19,57,66,119,73,67,24
1,1,6,15,3,146,1,0,25,50,40,20,57,35,28,13
1,22,1,16,4,143,0,1,46,25,54,30,103,63,50,20
1,0,3,19,4,148,0,1,31,37,46,44,76,46,48,21
1,12,3,23,2,153,1,0,58,18,58,42,122,75,64,24
1,9,0,27,4,142,0,1,46,30,48,71,98,60,54,22
1,17,3,28,6,152,0,1,27,46,44,37,63,38,35,15
1,29,3,31,7,145,0,1,43,31,51,50,94,57,39,18
1,18,3,30,4,165,0,1,37,35,49,25,84,51,46,22
2,17,3,4,6,146,0,1,27,46,44,37,63,38,35,15
2,2,2,14,4,160,0,1,51,26,53,50,107,65,50,21
2,8,4,20,1,143,1,0,37,38,46,57,81,49,41,18
2,26,4,24,1,147,1,0,51,23,55,28,110,67,62,23
3,30,7,8,2,156,1,0,44,26,52,62,100,61,48,18
3,3,1,11,6,148,0,1,32,39,44,50,75,46,47,21
3,23,0,13,3,137,0,1,32,37,44,50,77,47,41,18
3,9,4,15,3,161,1,0,46,30,48,71,98,60,54,22
3,18,2,19,1,136,1,0,37,35,49,25,84,51,46,22
3,16,4,21,5,163,0,1,45,30,51,66,97,59,63,24
3,22,3,25,2,163,1,0,46,25,54,30,103,63,50,20
3,5,2,27,3,139,0,1,54,20,58,33,116,71,51,21
3,10,1,28,0,146,1,0,32,40,42,60,74,45,37,16
3,12,3,29,5,153,0,1,58,18,58,42,122,75,64,24
4,12,3,0,0,148,1,0,58,18,58,42,122,75,64,24
4,30,4,5,3,179,1,0,44,26,52,62,100,61,48,18
4,3,1,4,0,143,1,0,32,39,44,50,75,46,47,21
4,21,1,20,3,154,0,1,25,46,41,20,61,37,30,12
4,7,5,23,3,147,1,0,56,19,57,66,119,73,67,24
4,2,4,31,2,150,1,0,51,26,53,50,107,65,50,21
5,22,4,1,1,139,1,0,46,25,54,30,103,63,50,20
5,25,4,8,5,149,0,1,49,22,56,40,109,67,65,26
5,17,3,11,6,155,0,1,27,46,44,37,63,38,35,15
5,6,1,14,3,146,0,1,28,42,42,75,68,41,47,19
5,20,1,15,5,149,0,1,33,42,45,60,73,44,47,19
5,27,3,16,6,158,0,1,54,21,55,75,115,70,63,27
5,9,2,18,4,146,0,1,46,30,48,71,98,60,54,22
5,10,2,24,4,150,0,1,32,40,42,60,74,45,37,16
5,19,2,26,1,154,1,0,52,24,55,57,110,67,55,25
5,4,5,28,2,142,1,0,50,21,58,50,111,68,54,22
5,13,1,29,5,148,0,1,44,27,50,50,99,61,40,16
6,19,2,5,0,143,1,0,52,24,55,57,110,67,55,25
6,31,6,6,4,145,1,0,39,32,49,33,89,54,52,21
6,18,1,21,2,144,0,1,37,35,49,25,84,51,46,22
6,1,2,23,4,138,0,1,25,50,40,20,57,35,28,13
6,3,3,28,2,152,1,0,32,39,44,50,75,46,47,21
6,9,3,30,2,153,1,0,46,30,48,71,98,60,54,22
0,16,6,0,3,153,1,0,45,30,51,66,97,59,63,24
0,11,2,7,3,150,0,1,49,27,53,83,104,64,61,25
0,29,0,14,3,140,0,1,43,31,51,50,94,57,39,18
0,2,3,15,2,147,1,0,51,26,53,50,107,65,50,21
1,24,4,1,2,139,1,0,27,49,42,75,60,36,32,14
1,26,2,5,3,161,0,1,51,23,55,28,110,67,62,23
1,23,4,4,3,149,1,0,32,37,44,50,77,47,41,18
1,11,3,9,5,148,0,1,49,27,53,83,104,64,61,25
1,21,3,10,6,150,0,1,25,46,41,20,61,37,30,12
1,16,1,13,6,141,0,1,45,30,51,66,97,59,63,24
1,19,4,17,7,145,0,1,52,24,55,57,110,67,55,25
1,20,0,18,3,137,0,1,33,42,45,60,73,44,47,19
1,8,1,22,5,141,0,1,37,38,46,57,81,49,41,18
1,29,0,31,4,143,0,1,43,31,51,50,94,57,39,18
1,25,5,30,2,138,1,0,49,22,56,40,109,67,65,26
2,6,4,0,2,150,1,0,28,42,42,75,68,41,47,19
2,22,3,3,4,155,0,1,46,25,54,30,103,63,50,20
2,28,3,7,1,141,1,0,40,30,51,37,92,56,58,23
2,17,2,27,3,147,0,1,27,46,44,37,63,38,35,15
3,26,2,2,3,159,0,1,51,23,55,28,110,67,62,23
3,9,4,5,3,161,1,0,46,30,48,71,98,60,54,22
3,23,2,11,5,150,0,1,32,37,44,50,77,47,41,18
3,6,4,13,3,158,1,0,28,42,42,75,68,41,47,19
3,28,2,14,3,159,0,1,40,30,51,37,92,56,58,23
3,12,4,15,3,154,1,0,58,18,58,42,122,75,64,24
3,10,2,18,5,139,0,1,32,40,42,60,74,45,37,16
3,21,5,25,2,139,1,0,25,46,41,20,61,37,30,12
3,16,1,29,6,162,0,1,45,30,51,66,97,59,63,24
3,20,5,31,2,144,1,0,33,42,45,60,73,44,47,19
4,30,4,3,3,155,1,0,44,26,52,62,100,61,48,18
4,1,2,4,4,143,0,1,25,50,40,20,57,35,28,13
4,21,3,7,6,153,0,1,25,46,41,20,61,37,30,12
4,22,1,19,5,140,0,1,46,25,54,30,103,63,50,20
