Date,Visitor,G,Home,G,,Att.,LOG,Notes
2021-10-23,Buffalo Sabres,1,New Jersey Devils,2,OT,13158,2:29,
2021-10-23,New York Rangers,3,Ottawa Senators,2,,11167,2:26,
2021-10-23,Florida Panthers,4,Philadelphia Flyers,2,,16936,2:31,
2021-10-23,Toronto Maple Leafs,1,Pittsburgh Penguins,7,,15397,2:29,
2021-10-23,Vancouver Canucks,4,Seattle Kraken,2,,17151,2:32,
2021-10-23,Los Angeles Kings,3,St. Louis Blues,7,,18096,2:30,
2021-10-23,Colorado Avalanche,4,Tampa Bay Lightning,3,SO,19092,3:04,
2021-10-23,Nashville Predators,4,Winnipeg Jets,6,,14020,2:34,
2021-10-23,Calgary Flames,4,Washington Capitals,3,OT,18573,2:31,
2021-10-24,San Jose Sharks,3,Boston Bruins,4,,17850,2:32,
2021-10-24,Detroit Red Wings,6,Chicago Blackhawks,3,,19042,2:34,
2021-10-24,Nashville Predators,5,Minnesota Wild,2,,16014,2:38,
2021-10-24,New York Islanders,2,Vegas Golden Knights,0,,17699,2:24,
2021-10-25,Tampa Bay Lightning,1,Buffalo Sabres,5,,7417,2:25,
2021-10-25,Toronto Maple Leafs,1,Carolina Hurricanes,4,,14011,2:25,
2021-10-25,Dallas Stars,1,Columbus Blue Jackets,4,,12629,2:24,
2021-10-25,Arizona Coyotes,3,Florida Panthers,5,,13943,2:27,
2021-10-25,Calgary Flames,5,New York Rangers,1,,13590,2:23,
2021-10-25,Washington Capitals,7,Ottawa Senators,5,,11387,2:42,
2021-10-25,Los Angeles Kings,0,St. Louis Blues,3,,16655,2:26,
2021-10-26,Winnipeg Jets,4,Anaheim Ducks,3,,11951,2:24,
2021-10-26,Vegas Golden Knights,3,Colorado Avalanche,1,,17724,2:32,
2021-10-26,Calgary Flames,5,New Jersey Devils,3,,10631,2:33,
2021-10-26,San Jose Sharks,1,Nashville Predators,3,,16395,2:27,
2021-10-26,Tampa Bay Lightning,5,Pittsburgh Penguins,1,,15732,2:28,
2021-10-26,Montreal Canadiens,1,Seattle Kraken,5,,17151,2:20,
2021-10-26,Minnesota Wild,3,Vancouver Canucks,2,,18870,2:28,
2021-10-27,Toronto Maple Leafs,3,Chicago Blackhawks,2,OT,18616,2:29,
2021-10-27,Vegas Golden Knights,3,Dallas Stars,2,OT,18114,2:27,
2021-10-27,Philadelphia Flyers,5,Edmonton Oilers,3,,14328,2:24,
2021-10-27,Boston Bruins,1,Florida Panthers,4,,12306,2:26,
2021-10-27,Detroit Red Wings,3,Washington Capitals,2,OT,18573,2:24,
2021-10-28,Buffalo Sabres,4,Anaheim Ducks,3,OT,12014,2:25,
2021-10-28,Boston Bruins,0,Carolina Hurricanes,3,,16093,2:31,
2021-10-28,Winnipeg Jets,3,Los Angeles Kings,2,,11207,2:16,
2021-10-28,Calgary Flames,4,Pittsburgh Penguins,0,,17743,2:23,
2021-10-28,Minnesota Wild,1,Seattle Kraken,4,,17151,2:29,
2021-10-28,Montreal Canadiens,4,San Jose Sharks,0,,11463,2:23,
2021-10-28,Colorado Avalanche,4,St. Louis Blues,3,,16558,2:43,
2021-10-28,Arizona Coyotes,1,Tampa Bay Lightning,5,,19092,2:35,
2021-10-28,Philadelphia Flyers,2,Vancouver Canucks,1,,18344,2:19,
