day_of_week,away_team,home_team,length_of_game_min,outcome,home_wins,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,G,PPG,SHOOTOUTS
5,24,4,141,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
0,24,28,150,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
6,24,23,148,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
5,24,30,145,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
6,24,5,153,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
1,24,27,150,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
3,24,20,149,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
5,24,15,171,1,0,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
1,24,1,139,1,0,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
5,24,13,140,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
0,24,13,150,1,0,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
2,24,25,141,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
3,24,6,136,1,0,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
1,24,4,148,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
4,24,14,146,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
5,24,9,149,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
1,24,28,141,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
6,24,31,130,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
2,31,0,149,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
5,31,23,145,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
1,31,14,171,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
1,31,0,144,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
3,31,13,136,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
5,31,23,142,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
3,31,11,162,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
4,31,28,142,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
2,31,8,147,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
4,31,14,141,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
5,31,4,144,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
3,31,24,145,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
4,31,28,162,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
6,31,29,151,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
1,31,1,138,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
3,31,7,149,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
3,31,10,143,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
1,31,30,148,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
3,31,16,155,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
5,31,2,142,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
6,31,22,163,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
5,31,25,140,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
1,31,21,144,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
4,31,9,154,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
5,31,16,150,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
0,31,4,142,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
2,31,9,147,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
4,31,7,144,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
6,31,1,139,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
3,31,17,136,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
4,31,18,147,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
6,31,25,148,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
6,31,6,145,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
2,31,3,150,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
3,31,27,159,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
6,31,20,153,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
0,31,15,143,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
4,31,12,147,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
5,31,26,147,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
1,31,19,143,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
