,away_team,away_goals,home_team,home_goals,length_of_game_min,outcome,home_wins,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,G,PPG,SHOOTOUTS,W%,GDIFF,SOW%,PPW%,day_code
0,22,6,26,2,153,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,1
1,22,4,12,5,160,0,1,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,3
2,22,2,6,3,161,0,1,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,1
3,22,3,20,6,142,0,1,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,5
4,22,1,30,6,141,0,1,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,6
5,22,6,15,0,132,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,3
6,22,2,27,0,137,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,5
7,22,3,31,1,139,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,0
8,22,1,18,0,141,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,4
9,22,1,4,2,163,0,1,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,0
10,22,2,11,5,149,0,1,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,2
11,22,4,28,1,144,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,5
12,22,6,24,1,144,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,0
13,22,4,30,2,149,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,4
14,22,3,17,2,142,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,6
15,22,6,21,2,141,1,0,12,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,491,83,10,56.09756097560976,54.78615071283096,30.0,60.24096385542169,3
